framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.88	2012.97	1758.88	0.0002	26.6	98.2	100	100	90	12.92	129.4	43.13	0	1074.54	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6592	2.36	193581	61947	3	90.45	3.12	5507	104	1758.84	2283.97	1758.84	0.0001	8.4	97.2	100	100	90	13.28	129.4	43.13	0	1078.52	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	1184	2.26	100009	34722	1	99.5	2.88	1576	119	1845.43	2022.04	1845.43	0.1459	0	92	100	99.2	90	16.63	129.3	43.1	0	1075.46	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	755	2.21	59808	15719	1	98.81	3.8	1601	120	1549.14	1855.21	1549.14	0.055	2	99	96	100	90	17.3	144.1	48.03	0	1078.72	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	24.66	194	54.72	0	1067.32	49.7	-0.003	4	321	234	67	154.88	17543.75
preact	True	752	2.18	27622	10088	1	100	2.74	1024	104	1358.5	1662.75	1358.5	0.0001	0	99.8	100	100	90	17.84	129.4	43.13	0	1064.07	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1279	2.25	91158	34628	13	100	2.63	1569	119	1432.97	2127	1432.97	1.0109	0	74	96	100	90	17.22	134.3	44.77	0	1082.54	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1303	2.31	158538	50256	1	100	3.15	1024	105	1957.79	2262.99	1957.79	0.0001	143.8	93.4	100	100	90	14.61	124.5	41.5	0	1072.38	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1109	2.18	26458	9243	1	100	2.86	1596	119	1361.9	1547.15	1361.9	0.0001	0	99.6	100	100	90	13.64	129.5	43.17	0	1067.65	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2950	2.27	117668	38611	11	68.6	3.05	1028	104	1669.28	2118.77	1669.28	0	1.4	98	100	96	90	13.65	124.5	41.5	0	1046.59	0	0.011	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.33	1542.17	1250.33	0.1461	0	94	100	96	90	15.32	124.2	41.4	0	1076.75	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	671	2.17	17211	5999	1	96.97	2.87	1025	104	1212.25	1396.58	1212.25	0.0001	0	100	100	100	90	12.27	119.3	39.77	0	1053.43	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1337	2.23	76585	29349	1	100	2.61	1613	121	1640.12	1868.28	1640.12	0.0001	0	99	100	100	90	12.73	129.3	43.1	0	1067.44	0	-0.007	11	677	217	57	686.46	10853.47
